Initial Investment:		50000
Recurring Monthly Investment:	4000
Start Month:			12
Start Year:			2023
End Month:			8
End Year:			2043
Annual Rate of Return (%):	12
--- Output ---
2028.06) 266000/370135/104135/28.13%
2028.07) 270000/377836/107836/28.54%
2028.08) 274000/385614/111614/28.94%
2028.09) 278000/393471/115471/29.35%
2028.10) 282000/401405/119405/29.75%
2028.11) 286000/409419/123419/30.14%
2028.12) 290000/417514/127514/30.54%
2029.01) 294000/425689/131689/30.94%
2029.02) 298000/433946/135946/31.33%
2029.03) 302000/442285/140285/31.72%
2029.04) 306000/450708/144708/32.11%
2029.05) 310000/459215/149215/32.49%
2029.06) 314000/467807/153807/32.88%
2029.07) 318000/476485/158485/33.26%
2029.08) 322000/485250/163250/33.64%
2029.09) 326000/494102/168102/34.02%
2029.10) 330000/503044/173044/34.4%
2029.11) 334000/512074/178074/34.78%
2029.12) 338000/521195/183195/35.15%
2030.01) 342000/530407/188407/35.52%
2030.02) 346000/539711/193711/35.89%
2030.03) 350000/549108/199108/36.26%
2030.04) 354000/558599/204599/36.63%
2030.05) 358000/568185/210185/36.99%
2030.06) 362000/577867/215867/37.36%
2030.07) 366000/587645/221645/37.72%
2030.08) 370000/597522/227522/38.08%
2030.09) 374000/607497/233497/38.44%
2030.10) 378000/617572/239572/38.79%
2030.11) 382000/627748/245748/39.15%
2030.12) 386000/638025/252025/39.5%
2031.01) 390000/648405/258405/39.85%
2031.02) 394000/658890/264890/40.2%
2031.03) 398000/669478/271478/40.55%
2031.04) 402000/680173/278173/40.9%
2031.05) 406000/690975/284975/41.24%
2031.06) 410000/701885/291885/41.59%
2031.07) 414000/712904/298904/41.93%
2031.08) 418000/724033/306033/42.27%
2031.09) 422000/735273/313273/42.61%
2031.10) 426000/746626/320626/42.94%
2031.11) 430000/758092/328092/43.28%
2031.12) 434000/769673/335673/43.61%
2032.01) 438000/781370/343370/43.94%
2032.02) 442000/793183/351183/44.28%
2032.03) 446000/805115/359115/44.6%
2032.04) 450000/817166/367166/44.93%
2032.05) 454000/829338/375338/45.26%
2032.06) 458000/841631/383631/45.58%
2032.07) 462000/854048/392048/45.9%
2032.08) 466000/866588/400588/46.23%
2032.09) 470000/879254/409254/46.55%
2032.10) 474000/892046/418046/46.86%
2032.11) 478000/904967/426967/47.18%
2032.12) 482000/918017/436017/47.5%
2033.01) 486000/931197/445197/47.81%
2033.02) 490000/944509/454509/48.12%
2033.03) 494000/957954/463954/48.43%
2033.04) 498000/971533/473533/48.74%
2033.05) 502000/985249/483249/49.05%
2033.06) 506000/999101/493101/49.35%
2033.07) 510000/1013092/503092/49.66%
2033.08) 514000/1027223/513223/49.96%
2033.09) 518000/1041495/523495/50.26%
2033.10) 522000/1055910/533910/50.56%
2033.11) 526000/1070469/544469/50.86%
2033.12) 530000/1085174/555174/51.16%
2034.01) 534000/1100026/566026/51.46%
2034.02) 538000/1115026/577026/51.75%
2034.03) 542000/1130176/588176/52.04%
2034.04) 546000/1145478/599478/52.33%
2034.05) 550000/1160933/610933/52.62%
2034.06) 554000/1176542/622542/52.91%
2034.07) 558000/1192308/634308/53.2%
2034.08) 562000/1208231/646231/53.49%
2034.09) 566000/1224313/658313/53.77%
2034.10) 570000/1240556/670556/54.05%
2034.11) 574000/1256962/682962/54.33%
2034.12) 578000/1273531/695531/54.61%
2035.01) 582000/1290267/708267/54.89%
2035.02) 586000/1307169/721169/55.17%
2035.03) 590000/1324241/734241/55.45%
2035.04) 594000/1341483/747483/55.72%
2035.05) 598000/1358898/760898/55.99%
2035.06) 602000/1376487/774487/56.27%
2035.07) 606000/1394252/788252/56.54%
2035.08) 610000/1412195/802195/56.8%
2035.09) 614000/1430317/816317/57.07%
2035.10) 618000/1448620/830620/57.34%
2035.11) 622000/1467106/845106/57.6%
2035.12) 626000/1485777/859777/57.87%
2036.01) 630000/1504635/874635/58.13%
2036.02) 634000/1523681/889681/58.39%
2036.03) 638000/1542918/904918/58.65%
2036.04) 642000/1562347/920347/58.91%
2036.05) 646000/1581971/935971/59.16%
2036.06) 650000/1601790/951790/59.42%
2036.07) 654000/1621808/967808/59.67%
2036.08) 658000/1642026/984026/59.93%
2036.09) 662000/1662447/1000447/60.18%
2036.10) 666000/1683071/1017071/60.43%
2036.11) 670000/1703902/1033902/60.68%
2036.12) 674000/1724941/1050941/60.93%
2037.01) 678000/1746190/1068190/61.17%
2037.02) 682000/1767652/1085652/61.42%
2037.03) 686000/1789329/1103329/61.66%
2037.04) 690000/1811222/1121222/61.9%
2037.05) 694000/1833334/1139334/62.15%
2037.06) 698000/1855667/1157667/62.39%
2037.07) 702000/1878224/1176224/62.62%
2037.08) 706000/1901006/1195006/62.86%
2037.09) 710000/1924016/1214016/63.1%
2037.10) 714000/1947257/1233257/63.33%
2037.11) 718000/1970729/1252729/63.57%
2037.12) 722000/1994436/1272436/63.8%
2038.01) 726000/2018381/1292381/64.03%
2038.02) 730000/2042565/1312565/64.26%
2038.03) 734000/2066990/1332990/64.49%
2038.04) 738000/2091660/1353660/64.72%
2038.05) 742000/2116577/1374577/64.94%
2038.06) 746000/2141743/1395743/65.17%
2038.07) 750000/2167160/1417160/65.39%
2038.08) 754000/2192832/1438832/65.62%
2038.09) 758000/2218760/1460760/65.84%
2038.10) 762000/2244947/1482947/66.06%
2038.11) 766000/2271397/1505397/66.28%
2038.12) 770000/2298111/1528111/66.49%
2039.01) 774000/2325092/1551092/66.71%
2039.02) 778000/2352343/1574343/66.93%
2039.03) 782000/2379866/1597866/67.14%
2039.04) 786000/2407665/1621665/67.35%
2039.05) 790000/2435742/1645742/67.57%
2039.06) 794000/2464099/1670099/67.78%
2039.07) 798000/2492740/1694740/67.99%
2039.08) 802000/2521667/1719667/68.2%
2039.09) 806000/2550884/1744884/68.4%
2039.10) 810000/2580393/1770393/68.61%
2039.11) 814000/2610197/1796197/68.81%
2039.12) 818000/2640299/1822299/69.02%
2040.01) 822000/2670702/1848702/69.22%
2040.02) 826000/2701409/1875409/69.42%
2040.03) 830000/2732423/1902423/69.62%
2040.04) 834000/2763747/1929747/69.82%
2040.05) 838000/2795385/1957385/70.02%
2040.06) 842000/2827339/1985339/70.22%
2040.07) 846000/2859612/2013612/70.42%
2040.08) 850000/2892208/2042208/70.61%
2040.09) 854000/2925130/2071130/70.8%
2040.10) 858000/2958381/2100381/71%
2040.11) 862000/2991965/2129965/71.19%
2040.12) 866000/3025885/2159885/71.38%
2041.01) 870000/3060144/2190144/71.57%
2041.02) 874000/3094745/2220745/71.76%
2041.03) 878000/3129693/2251693/71.95%
2041.04) 882000/3164990/2282990/72.13%
2041.05) 886000/3200639/2314639/72.32%
2041.06) 890000/3236646/2346646/72.5%
2041.07) 894000/3273012/2379012/72.69%
2041.08) 898000/3309742/2411742/72.87%
2041.09) 902000/3346840/2444840/73.05%
2041.10) 906000/3384308/2478308/73.23%
2041.11) 910000/3422151/2512151/73.41%
2041.12) 914000/3460373/2546373/73.59%
2042.01) 918000/3498977/2580977/73.76%
2042.02) 922000/3537966/2615966/73.94%
2042.03) 926000/3577346/2651346/74.11%
2042.04) 930000/3617119/2687119/74.29%
2042.05) 934000/3657291/2723291/74.46%
2042.06) 938000/3697864/2759864/74.63%
2042.07) 942000/3738842/2796842/74.81%
2042.08) 946000/3780231/2834231/74.98%
2042.09) 950000/3822033/2872033/75.14%
2042.10) 954000/3864253/2910253/75.31%
2042.11) 958000/3906896/2948896/75.48%
2042.12) 962000/3949965/2987965/75.65%
2043.01) 966000/3993464/3027464/75.81%
2043.02) 970000/4037399/3067399/75.97%
2043.03) 974000/4081773/3107773/76.14%
2043.04) 978000/4126591/3148591/76.3%
2043.05) 982000/4171857/3189857/76.46%
2043.06) 986000/4217575/3231575/76.62%
2043.07) 990000/4263751/3273751/76.78%
