Initial Investment:		1
Recurring Monthly Investment:	1
Start Month:			1
Start Year:			1
End Month:			12
End Year:			10000
Annual Rate of Return (%):	1
--- Output ---
6.11) 71/73/2/2.89%
6.12) 72/74/2/2.93%
7.01) 73/75/2/2.97%
7.02) 74/76/2/3.01%
7.03) 75/77/2/3.05%
7.04) 76/78/2/3.09%
7.05) 77/79/2/3.13%
7.06) 78/81/3/3.17%
7.07) 79/82/3/3.21%
7.08) 80/83/3/3.25%
7.09) 81/84/3/3.3%
7.10) 82/85/3/3.34%
7.11) 83/86/3/3.38%
7.12) 84/87/3/3.42%
8.01) 85/88/3/3.46%
8.02) 86/89/3/3.5%
8.03) 87/90/3/3.54%
8.04) 88/91/3/3.58%
8.05) 89/92/3/3.62%
8.06) 90/93/3/3.66%
8.07) 91/94/3/3.7%
8.08) 92/96/4/3.74%
8.09) 93/97/4/3.78%
8.10) 94/98/4/3.82%
8.11) 95/99/4/3.86%
8.12) 96/100/4/3.91%
9.01) 97/101/4/3.95%
9.02) 98/102/4/3.99%
9.03) 99/103/4/4.03%
9.04) 100/104/4/4.07%
9.05) 101/105/4/4.11%
9.06) 102/106/4/4.15%
9.07) 103/108/5/4.19%
9.08) 104/109/5/4.23%
9.09) 105/110/5/4.27%
9.10) 106/111/5/4.31%
9.11) 107/112/5/4.35%
9.12) 108/113/5/4.39%
10.01) 109/114/5/4.43%
10.02) 110/115/5/4.47%
10.03) 111/116/5/4.51%
10.04) 112/117/5/4.55%
10.05) 113/118/5/4.59%
10.06) 114/120/6/4.63%
10.07) 115/121/6/4.67%
10.08) 116/122/6/4.71%
10.09) 117/123/6/4.75%
10.10) 118/124/6/4.79%
10.11) 119/125/6/4.83%
10.12) 120/126/6/4.88%
11.01) 121/127/6/4.92%
11.02) 122/128/6/4.96%
11.03) 123/129/6/5%
11.04) 124/131/7/5.04%
11.05) 125/132/7/5.08%
11.06) 126/133/7/5.12%
11.07) 127/134/7/5.16%
11.08) 128/135/7/5.2%
11.09) 129/136/7/5.24%
11.10) 130/137/7/5.28%
11.11) 131/138/7/5.32%
11.12) 132/139/7/5.36%
12.01) 133/141/8/5.4%
12.02) 134/142/8/5.44%
12.03) 135/143/8/5.48%
12.04) 136/144/8/5.52%
12.05) 137/145/8/5.56%
12.06) 138/146/8/5.6%
12.07) 139/147/8/5.64%
12.08) 140/148/8/5.68%
12.09) 141/150/9/5.72%
12.10) 142/151/9/5.76%
12.11) 143/152/9/5.8%
12.12) 144/153/9/5.84%
13.01) 145/154/9/5.88%
13.02) 146/155/9/5.92%
13.03) 147/156/9/5.96%
13.04) 148/157/9/6%
13.05) 149/159/10/6.04%
13.06) 150/160/10/6.08%
13.07) 151/161/10/6.12%
13.08) 152/162/10/6.16%
13.09) 153/163/10/6.2%
13.10) 154/164/10/6.24%
13.11) 155/165/10/6.28%
13.12) 156/167/11/6.32%
14.01) 157/168/11/6.36%
14.02) 158/169/11/6.4%
14.03) 159/170/11/6.44%
14.04) 160/171/11/6.48%
14.05) 161/172/11/6.52%
14.06) 162/173/11/6.56%
14.07) 163/175/12/6.6%
14.08) 164/176/12/6.64%
14.09) 165/177/12/6.68%
14.10) 166/178/12/6.72%
14.11) 167/179/12/6.76%
14.12) 168/180/12/6.8%
15.01) 169/181/12/6.83%
15.02) 170/183/13/6.87%
15.03) 171/184/13/6.91%
15.04) 172/185/13/6.95%
15.05) 173/186/13/6.99%
15.06) 174/187/13/7.03%
15.07) 175/188/13/7.07%
15.08) 176/189/13/7.11%
15.09) 177/191/14/7.15%
15.10) 178/192/14/7.19%
15.11) 179/193/14/7.23%
15.12) 180/194/14/7.27%
16.01) 181/195/14/7.31%
16.02) 182/196/14/7.35%
16.03) 183/198/15/7.39%
16.04) 184/199/15/7.43%
16.05) 185/200/15/7.47%
16.06) 186/201/15/7.51%
16.07) 187/202/15/7.55%
16.08) 188/203/15/7.59%
16.09) 189/205/16/7.63%
16.10) 190/206/16/7.67%
16.11) 191/207/16/7.71%
16.12) 192/208/16/7.75%
17.01) 193/209/16/7.78%
17.02) 194/210/16/7.82%
17.03) 195/212/17/7.86%
17.04) 196/213/17/7.9%
17.05) 197/214/17/7.94%
17.06) 198/215/17/7.98%
17.07) 199/216/17/8.02%
17.08) 200/218/18/8.06%
17.09) 201/219/18/8.1%
17.10) 202/220/18/8.14%
17.11) 203/221/18/8.18%
17.12) 204/222/18/8.22%
18.01) 205/223/18/8.26%
18.02) 206/225/19/8.3%
18.03) 207/226/19/8.34%
18.04) 208/227/19/8.37%
18.05) 209/228/19/8.41%
18.06) 210/229/19/8.45%
18.07) 211/231/20/8.49%
18.08) 212/232/20/8.53%
18.09) 213/233/20/8.57%
18.10) 214/234/20/8.61%
18.11) 215/235/20/8.65%
18.12) 216/237/21/8.69%
19.01) 217/238/21/8.73%
19.02) 218/239/21/8.77%
19.03) 219/240/21/8.81%
19.04) 220/241/21/8.85%
19.05) 221/243/22/8.88%
19.06) 222/244/22/8.92%
19.07) 223/245/22/8.96%
19.08) 224/246/22/9%
19.09) 225/247/22/9.04%
19.10) 226/249/23/9.08%
19.11) 227/250/23/9.12%
19.12) 228/251/23/9.16%
20.01) 229/252/23/9.2%
20.02) 230/253/23/9.24%
20.03) 231/255/24/9.27%
20.04) 232/256/24/9.31%
20.05) 233/257/24/9.35%
20.06) 234/258/24/9.39%
20.07) 235/259/24/9.43%
20.08) 236/261/25/9.47%
20.09) 237/262/25/9.51%
20.10) 238/263/25/9.55%
20.11) 239/264/25/9.59%
20.12) 240/266/26/9.63%
21.01) 241/267/26/9.66%
21.02) 242/268/26/9.7%
21.03) 243/269/26/9.74%
21.04) 244/270/26/9.78%
21.05) 245/272/27/9.82%
21.06) 246/273/27/9.86%
21.07) 247/274/27/9.9%
21.08) 248/275/27/9.94%
21.09) 249/277/28/9.97%
21.10) 250/278/28/10.01%
21.11) 251/279/28/10.05%
21.12) 252/280/28/10.09%
22.01) 253/282/29/10.13%
22.02) 254/283/29/10.17%
22.03) 255/284/29/10.21%
22.04) 256/285/29/10.25%
22.05) 257/286/29/10.28%
22.06) 258/288/30/10.32%
22.07) 259/289/30/10.36%
22.08) 260/290/30/10.4%
22.09) 261/291/30/10.44%
22.10) 262/293/31/10.48%
22.11) 263/294/31/10.52%
22.12) 264/295/31/10.56%
23.01) 265/296/31/10.59%
23.02) 266/298/32/10.63%
23.03) 267/299/32/10.67%
23.04) 268/300/32/10.71%
23.05) 269/301/32/10.75%
23.06) 270/303/33/10.79%
23.07) 271/304/33/10.83%
23.08) 272/305/33/10.86%
23.09) 273/306/33/10.9%
23.10) 274/308/34/10.94%
23.11) 275/309/34/10.98%
23.12) 276/310/34/11.02%
24.01) 277/311/34/11.06%
24.02) 278/313/35/11.1%
24.03) 279/314/35/11.13%
24.04) 280/315/35/11.17%
24.05) 281/316/35/11.21%
24.06) 282/318/36/11.25%
24.07) 283/319/36/11.29%
24.08) 284/320/36/11.33%
24.09) 285/322/37/11.36%
24.10) 286/323/37/11.4%
24.11) 287/324/37/11.44%
24.12) 288/325/37/11.48%
25.01) 289/327/38/11.52%
25.02) 290/328/38/11.56%
25.03) 291/329/38/11.59%
25.04) 292/330/38/11.63%
25.05) 293/332/39/11.67%
25.06) 294/333/39/11.71%
25.07) 295/334/39/11.75%
25.08) 296/336/40/11.79%
25.09) 297/337/40/11.82%
25.10) 298/338/40/11.86%
25.11) 299/339/40/11.9%
25.12) 300/341/41/11.94%
26.01) 301/342/41/11.98%
26.02) 302/343/41/12.01%
26.03) 303/345/42/12.05%
26.04) 304/346/42/12.09%
26.05) 305/347/42/12.13%
26.06) 306/348/42/12.17%
26.07) 307/350/43/12.21%
26.08) 308/351/43/12.24%
26.09) 309/352/43/12.28%
26.10) 310/354/44/12.32%
26.11) 311/355/44/12.36%
26.12) 312/356/44/12.4%
27.01) 313/357/44/12.43%
27.02) 314/359/45/12.47%
27.03) 315/360/45/12.51%
27.04) 316/361/45/12.55%
27.05) 317/363/46/12.59%
27.06) 318/364/46/12.62%
27.07) 319/365/46/12.66%
27.08) 320/367/47/12.7%
27.09) 321/368/47/12.74%
27.10) 322/369/47/12.78%
27.11) 323/370/47/12.81%
27.12) 324/372/48/12.85%
28.01) 325/373/48/12.89%
28.02) 326/374/48/12.93%
28.03) 327/376/49/12.97%
28.04) 328/377/49/13%
28.05) 329/378/49/13.04%
28.06) 330/380/50/13.08%
28.07) 331/381/50/13.12%
28.08) 332/382/50/13.15%
28.09) 333/384/51/13.19%
28.10) 334/385/51/13.23%
28.11) 335/386/51/13.27%
28.12) 336/388/52/13.31%
29.01) 337/389/52/13.34%
29.02) 338/390/52/13.38%
29.03) 339/392/53/13.42%
29.04) 340/393/53/13.46%
29.05) 341/394/53/13.49%
29.06) 342/396/54/13.53%
29.07) 343/397/54/13.57%
29.08) 344/398/54/13.61%
29.09) 345/400/55/13.65%
29.10) 346/401/55/13.68%
29.11) 347/402/55/13.72%
29.12) 348/404/56/13.76%
30.01) 349/405/56/13.8%
30.02) 350/406/56/13.83%
30.03) 351/408/57/13.87%
30.04) 352/409/57/13.91%
30.05) 353/410/57/13.95%
30.06) 354/412/58/13.98%
30.07) 355/413/58/14.02%
30.08) 356/414/58/14.06%
30.09) 357/416/59/14.1%
30.10) 358/417/59/14.13%
30.11) 359/418/59/14.17%
30.12) 360/420/60/14.21%
31.01) 361/421/60/14.25%
31.02) 362/422/60/14.28%
31.03) 363/424/61/14.32%
31.04) 364/425/61/14.36%
31.05) 365/426/61/14.4%
31.06) 366/428/62/14.43%
31.07) 367/429/62/14.47%
31.08) 368/430/62/14.51%
31.09) 369/432/63/14.55%
31.10) 370/433/63/14.58%
31.11) 371/435/64/14.62%
31.12) 372/436/64/14.66%
32.01) 373/437/64/14.7%
32.02) 374/439/65/14.73%
32.03) 375/440/65/14.77%
32.04) 376/441/65/14.81%
32.05) 377/443/66/14.85%
32.06) 378/444/66/14.88%
32.07) 379/445/66/14.92%
32.08) 380/447/67/14.96%
32.09) 381/448/67/15%
32.10) 382/450/68/15.03%
32.11) 383/451/68/15.07%
32.12) 384/452/68/15.11%
33.01) 385/454/69/15.14%
33.02) 386/455/69/15.18%
33.03) 387/456/69/15.22%
33.04) 388/458/70/15.26%
33.05) 389/459/70/15.29%
33.06) 390/461/71/15.33%
33.07) 391/462/71/15.37%
33.08) 392/463/71/15.4%
33.09) 393/465/72/15.44%
33.10) 394/466/72/15.48%
33.11) 395/468/73/15.52%
33.12) 396/469/73/15.55%
34.01) 397/470/73/15.59%
34.02) 398/472/74/15.63%
34.03) 399/473/74/15.66%
34.04) 400/475/75/15.7%
34.05) 401/476/75/15.74%
34.06) 402/477/75/15.78%
34.07) 403/479/76/15.81%
34.08) 404/480/76/15.85%
34.09) 405/481/76/15.89%
34.10) 406/483/77/15.92%
34.11) 407/484/77/15.96%
34.12) 408/486/78/16%
35.01) 409/487/78/16.03%
35.02) 410/489/79/16.07%
35.03) 411/490/79/16.11%
35.04) 412/491/79/16.15%
35.05) 413/493/80/16.18%
35.06) 414/494/80/16.22%
35.07) 415/496/81/16.26%
35.08) 416/497/81/16.29%
35.09) 417/498/81/16.33%
35.10) 418/500/82/16.37%
35.11) 419/501/82/16.4%
35.12) 420/503/83/16.44%
36.01) 421/504/83/16.48%
36.02) 422/505/83/16.51%
36.03) 423/507/84/16.55%
36.04) 424/508/84/16.59%
36.05) 425/510/85/16.62%
36.06) 426/511/85/16.66%
36.07) 427/513/86/16.7%
36.08) 428/514/86/16.73%
36.09) 429/515/86/16.77%
36.10) 430/517/87/16.81%
36.11) 431/518/87/16.84%
36.12) 432/520/88/16.88%
37.01) 433/521/88/16.92%
37.02) 434/523/89/16.95%
37.03) 435/524/89/16.99%
37.04) 436/525/89/17.03%
37.05) 437/527/90/17.06%
37.06) 438/528/90/17.1%
37.07) 439/530/91/17.14%
37.08) 440/531/91/17.17%
37.09) 441/533/92/17.21%
37.10) 442/534/92/17.25%
37.11) 443/536/93/17.28%
37.12) 444/537/93/17.32%
38.01) 445/538/93/17.36%
38.02) 446/540/94/17.39%
38.03) 447/541/94/17.43%
38.04) 448/543/95/17.47%
38.05) 449/544/95/17.5%
38.06) 450/546/96/17.54%
38.07) 451/547/96/17.58%
38.08) 452/549/97/17.61%
38.09) 453/550/97/17.65%
38.10) 454/552/98/17.69%
38.11) 455/553/98/17.72%
38.12) 456/554/98/17.76%
39.01) 457/556/99/17.79%
39.02) 458/557/99/17.83%
39.03) 459/559/100/17.87%
39.04) 460/560/100/17.9%
39.05) 461/562/101/17.94%
39.06) 462/563/101/17.98%
39.07) 463/565/102/18.01%
39.08) 464/566/102/18.05%
39.09) 465/568/103/18.09%
39.10) 466/569/103/18.12%
39.11) 467/571/104/18.16%
39.12) 468/572/104/18.19%
40.01) 469/574/105/18.23%
40.02) 470/575/105/18.27%
40.03) 471/577/106/18.3%
40.04) 472/578/106/18.34%
40.05) 473/579/106/18.38%
40.06) 474/581/107/18.41%
40.07) 475/582/107/18.45%
40.08) 476/584/108/18.48%
40.09) 477/585/108/18.52%
40.10) 478/587/109/18.56%
40.11) 479/588/109/18.59%
40.12) 480/590/110/18.63%
41.01) 481/591/110/18.67%
41.02) 482/593/111/18.7%
41.03) 483/594/111/18.74%
41.04) 484/596/112/18.77%
41.05) 485/597/112/18.81%
41.06) 486/599/113/18.85%
41.07) 487/600/113/18.88%
41.08) 488/602/114/18.92%
41.09) 489/603/114/18.95%
41.10) 490/605/115/18.99%
41.11) 491/606/115/19.03%
41.12) 492/608/116/19.06%
42.01) 493/609/116/19.1%
42.02) 494/611/117/19.13%
42.03) 495/612/117/19.17%
42.04) 496/614/118/19.21%
42.05) 497/615/118/19.24%
42.06) 498/617/119/19.28%
42.07) 499/618/119/19.31%
42.08) 500/620/120/19.35%
42.09) 501/621/120/19.39%
42.10) 502/623/121/19.42%
42.11) 503/625/122/19.46%
42.12) 504/626/122/19.49%
43.01) 505/628/123/19.53%
43.02) 506/629/123/19.56%
43.03) 507/631/124/19.6%
43.04) 508/632/124/19.64%
43.05) 509/634/125/19.67%
43.06) 510/635/125/19.71%
43.07) 511/637/126/19.74%
43.08) 512/638/126/19.78%
43.09) 513/640/127/19.82%
43.10) 514/641/127/19.85%
43.11) 515/643/128/19.89%
43.12) 516/644/128/19.92%
44.01) 517/646/129/19.96%
44.02) 518/647/129/19.99%
44.03) 519/649/130/20.03%
44.04) 520/651/131/20.07%
44.05) 521/652/131/20.1%
44.06) 522/654/132/20.14%
44.07) 523/655/132/20.17%
44.08) 524/657/133/20.21%
44.09) 525/658/133/20.24%
44.10) 526/660/134/20.28%
44.11) 527/661/134/20.32%
44.12) 528/663/135/20.35%
45.01) 529/664/135/20.39%
45.02) 530/666/136/20.42%
45.03) 531/668/137/20.46%
45.04) 532/669/137/20.49%
45.05) 533/671/138/20.53%
45.06) 534/672/138/20.56%
45.07) 535/674/139/20.6%
45.08) 536/675/139/20.64%
45.09) 537/677/140/20.67%
45.10) 538/678/140/20.71%
45.11) 539/680/141/20.74%
45.12) 540/682/142/20.78%
46.01) 541/683/142/20.81%
46.02) 542/685/143/20.85%
46.03) 543/686/143/20.88%
46.04) 544/688/144/20.92%
46.05) 545/689/144/20.95%
46.06) 546/691/145/20.99%
46.07) 547/693/146/21.03%
46.08) 548/694/146/21.06%
46.09) 549/696/147/21.1%
46.10) 550/697/147/21.13%
46.11) 551/699/148/21.17%
46.12) 552/701/149/21.2%
47.01) 553/702/149/21.24%
47.02) 554/704/150/21.27%
47.03) 555/705/150/21.31%
47.04) 556/707/151/21.34%
47.05) 557/708/151/21.38%
47.06) 558/710/152/21.41%
47.07) 559/712/153/21.45%
47.08) 560/713/153/21.48%
47.09) 561/715/154/21.52%
47.10) 562/716/154/21.55%
47.11) 563/718/155/21.59%
47.12) 564/720/156/21.63%
48.01) 565/721/156/21.66%
48.02) 566/723/157/21.7%
48.03) 567/724/157/21.73%
48.04) 568/726/158/21.77%
48.05) 569/728/159/21.8%
48.06) 570/729/159/21.84%
48.07) 571/731/160/21.87%
48.08) 572/732/160/21.91%
48.09) 573/734/161/21.94%
48.10) 574/736/162/21.98%
48.11) 575/737/162/22.01%
48.12) 576/739/163/22.05%
49.01) 577/741/164/22.08%
49.02) 578/742/164/22.12%
49.03) 579/744/165/22.15%
49.04) 580/745/165/22.19%
49.05) 581/747/166/22.22%
49.06) 582/749/167/22.26%
49.07) 583/750/167/22.29%
49.08) 584/752/168/22.33%
49.09) 585/753/168/22.36%
49.10) 586/755/169/22.4%
49.11) 587/757/170/22.43%
49.12) 588/758/170/22.47%
50.01) 589/760/171/22.5%
50.02) 590/762/172/22.54%
50.03) 591/763/172/22.57%
50.04) 592/765/173/22.61%
50.05) 593/767/174/22.64%
50.06) 594/768/174/22.68%
50.07) 595/770/175/22.71%
50.08) 596/771/175/22.75%
50.09) 597/773/176/22.78%
50.10) 598/775/177/22.81%
50.11) 599/776/177/22.85%
50.12) 600/778/178/22.88%
51.01) 601/780/179/22.92%
51.02) 602/781/179/22.95%
51.03) 603/783/180/22.99%
51.04) 604/785/181/23.02%
51.05) 605/786/181/23.06%
51.06) 606/788/182/23.09%
51.07) 607/790/183/23.13%
51.08) 608/791/183/23.16%
51.09) 609/793/184/23.2%
51.10) 610/795/185/23.23%
51.11) 611/796/185/23.27%
51.12) 612/798/186/23.3%
52.01) 613/800/187/23.34%
52.02) 614/801/187/23.37%
52.03) 615/803/188/23.4%
52.04) 616/805/189/23.44%
52.05) 617/806/189/23.47%
52.06) 618/808/190/23.51%
52.07) 619/810/191/23.54%
52.08) 620/811/191/23.58%
52.09) 621/813/192/23.61%
52.10) 622/815/193/23.65%
52.11) 623/816/193/23.68%
52.12) 624/818/194/23.72%
53.01) 625/820/195/23.75%
53.02) 626/821/195/23.79%
53.03) 627/823/196/23.82%
53.04) 628/825/197/23.85%
53.05) 629/826/197/23.89%
53.06) 630/828/198/23.92%
53.07) 631/830/199/23.96%
53.08) 632/831/199/23.99%
53.09) 633/833/200/24.03%
53.10) 634/835/201/24.06%
53.11) 635/837/202/24.09%
53.12) 636/838/202/24.13%
54.01) 637/840/203/24.16%
54.02) 638/842/204/24.2%
54.03) 639/843/204/24.23%
54.04) 640/845/205/24.27%
54.05) 641/847/206/24.3%
54.06) 642/848/206/24.34%
54.07) 643/850/207/24.37%
54.08) 644/852/208/24.4%
54.09) 645/854/209/24.44%
54.10) 646/855/209/24.47%
54.11) 647/857/210/24.51%
54.12) 648/859/211/24.54%
55.01) 649/860/211/24.58%
55.02) 650/862/212/24.61%
55.03) 651/864/213/24.64%
55.04) 652/866/214/24.68%
55.05) 653/867/214/24.71%
55.06) 654/869/215/24.75%
55.07) 655/871/216/24.78%
55.08) 656/873/217/24.81%
55.09) 657/874/217/24.85%
55.10) 658/876/218/24.88%
55.11) 659/878/219/24.92%
55.12) 660/879/219/24.95%
56.01) 661/881/220/24.99%
56.02) 662/883/221/25.02%
56.03) 663/885/222/25.05%
56.04) 664/886/222/25.09%
56.05) 665/888/223/25.12%
56.06) 666/890/224/25.16%
56.07) 667/892/225/25.19%
56.08) 668/893/225/25.22%
56.09) 669/895/226/25.26%
56.10) 670/897/227/25.29%
56.11) 671/899/228/25.33%
56.12) 672/900/228/25.36%
57.01) 673/902/229/25.39%
57.02) 674/904/230/25.43%
57.03) 675/906/231/25.46%
57.04) 676/907/231/25.5%
57.05) 677/909/232/25.53%
57.06) 678/911/233/25.56%
57.07) 679/913/234/25.6%
57.08) 680/914/234/25.63%
57.09) 681/916/235/25.66%
57.10) 682/918/236/25.7%
57.11) 683/920/237/25.73%
57.12) 684/921/237/25.77%
58.01) 685/923/238/25.8%
58.02) 686/925/239/25.83%
58.03) 687/927/240/25.87%
58.04) 688/928/240/25.9%
58.05) 689/930/241/25.94%
58.06) 690/932/242/25.97%
58.07) 691/934/243/26%
58.08) 692/936/244/26.04%
58.09) 693/937/244/26.07%
58.10) 694/939/245/26.1%
58.11) 695/941/246/26.14%
58.12) 696/943/247/26.17%
59.01) 697/945/248/26.21%
59.02) 698/946/248/26.24%
59.03) 699/948/249/26.27%
59.04) 700/950/250/26.31%
59.05) 701/952/251/26.34%
59.06) 702/953/251/26.37%
59.07) 703/955/252/26.41%
59.08) 704/957/253/26.44%
59.09) 705/959/254/26.47%
59.10) 706/961/255/26.51%
59.11) 707/962/255/26.54%
59.12) 708/964/256/26.58%
60.01) 709/966/257/26.61%
60.02) 710/968/258/26.64%
60.03) 711/970/259/26.68%
60.04) 712/971/259/26.71%
60.05) 713/973/260/26.74%
60.06) 714/975/261/26.78%
60.07) 715/977/262/26.81%
60.08) 716/979/263/26.84%
60.09) 717/981/264/26.88%
60.10) 718/982/264/26.91%
60.11) 719/984/265/26.94%
60.12) 720/986/266/26.98%
61.01) 721/988/267/27.01%
61.02) 722/990/268/27.04%
61.03) 723/991/268/27.08%
61.04) 724/993/269/27.11%
61.05) 725/995/270/27.14%
61.06) 726/997/271/27.18%
61.07) 727/999/272/27.21%
61.08) 728/1001/273/27.24%
61.09) 729/1002/273/27.28%
61.10) 730/1004/274/27.31%
61.11) 731/1006/275/27.34%
61.12) 732/1008/276/27.38%
62.01) 733/1010/277/27.41%
62.02) 734/1012/278/27.44%
62.03) 735/1013/278/27.48%
62.04) 736/1015/279/27.51%
62.05) 737/1017/280/27.54%
62.06) 738/1019/281/27.58%
62.07) 739/1021/282/27.61%
62.08) 740/1023/283/27.64%
62.09) 741/1025/284/27.68%
62.10) 742/1026/284/27.71%
62.11) 743/1028/285/27.74%
62.12) 744/1030/286/27.78%
63.01) 745/1032/287/27.81%
63.02) 746/1034/288/27.84%
63.03) 747/1036/289/27.88%
63.04) 748/1038/290/27.91%
63.05) 749/1039/290/27.94%
63.06) 750/1041/291/27.98%
63.07) 751/1043/292/28.01%
63.08) 752/1045/293/28.04%
63.09) 753/1047/294/28.07%
63.10) 754/1049/295/28.11%
63.11) 755/1051/296/28.14%
63.12) 756/1053/297/28.17%
64.01) 757/1054/297/28.21%
64.02) 758/1056/298/28.24%
64.03) 759/1058/299/28.27%
64.04) 760/1060/300/28.31%
64.05) 761/1062/301/28.34%
64.06) 762/1064/302/28.37%
64.07) 763/1066/303/28.4%
64.08) 764/1068/304/28.44%
64.09) 765/1069/304/28.47%
64.10) 766/1071/305/28.5%
64.11) 767/1073/306/28.54%
64.12) 768/1075/307/28.57%
65.01) 769/1077/308/28.6%
65.02) 770/1079/309/28.64%
65.03) 771/1081/310/28.67%
65.04) 772/1083/311/28.7%
65.05) 773/1085/312/28.73%
65.06) 774/1087/313/28.77%
65.07) 775/1088/313/28.8%
65.08) 776/1090/314/28.83%
65.09) 777/1092/315/28.87%
65.10) 778/1094/316/28.9%
65.11) 779/1096/317/28.93%
65.12) 780/1098/318/28.96%
66.01) 781/1100/319/29%
66.02) 782/1102/320/29.03%
66.03) 783/1104/321/29.06%
66.04) 784/1106/322/29.09%
66.05) 785/1108/323/29.13%
66.06) 786/1110/324/29.16%
66.07) 787/1111/324/29.19%
66.08) 788/1113/325/29.23%
66.09) 789/1115/326/29.26%
66.10) 790/1117/327/29.29%
66.11) 791/1119/328/29.32%
66.12) 792/1121/329/29.36%
67.01) 793/1123/330/29.39%
67.02) 794/1125/331/29.42%
67.03) 795/1127/332/29.45%
67.04) 796/1129/333/29.49%
67.05) 797/1131/334/29.52%
67.06) 798/1133/335/29.55%
67.07) 799/1135/336/29.58%
67.08) 800/1137/337/29.62%
67.09) 801/1139/338/29.65%
67.10) 802/1141/339/29.68%
67.11) 803/1142/339/29.71%
67.12) 804/1144/340/29.75%
68.01) 805/1146/341/29.78%
68.02) 806/1148/342/29.81%
68.03) 807/1150/343/29.84%
68.04) 808/1152/344/29.88%
68.05) 809/1154/345/29.91%
68.06) 810/1156/346/29.94%
68.07) 811/1158/347/29.97%
68.08) 812/1160/348/30.01%
68.09) 813/1162/349/30.04%
68.10) 814/1164/350/30.07%
68.11) 815/1166/351/30.1%
68.12) 816/1168/352/30.14%
69.01) 817/1170/353/30.17%
69.02) 818/1172/354/30.2%
69.03) 819/1174/355/30.23%
69.04) 820/1176/356/30.27%
69.05) 821/1178/357/30.3%
69.06) 822/1180/358/30.33%
69.07) 823/1182/359/30.36%
69.08) 824/1184/360/30.39%
69.09) 825/1186/361/30.43%
69.10) 826/1188/362/30.46%
69.11) 827/1190/363/30.49%
69.12) 828/1192/364/30.52%
70.01) 829/1194/365/30.56%
70.02) 830/1196/366/30.59%
70.03) 831/1198/367/30.62%
70.04) 832/1200/368/30.65%
70.05) 833/1202/369/30.68%
70.06) 834/1204/370/30.72%
70.07) 835/1206/371/30.75%
70.08) 836/1208/372/30.78%
70.09) 837/1210/373/30.81%
70.10) 838/1212/374/30.85%
70.11) 839/1214/375/30.88%
70.12) 840/1216/376/30.91%
71.01) 841/1218/377/30.94%
71.02) 842/1220/378/30.97%
71.03) 843/1222/379/31.01%
71.04) 844/1224/380/31.04%
71.05) 845/1226/381/31.07%
71.06) 846/1228/382/31.1%
71.07) 847/1230/383/31.13%
71.08) 848/1232/384/31.17%
71.09) 849/1234/385/31.2%
71.10) 850/1236/386/31.23%
71.11) 851/1238/387/31.26%
71.12) 852/1240/388/31.29%
72.01) 853/1242/389/31.33%
72.02) 854/1244/390/31.36%
72.03) 855/1246/391/31.39%
72.04) 856/1248/392/31.42%
72.05) 857/1250/393/31.45%
72.06) 858/1252/394/31.49%
