Initial Investment:		10000000
Recurring Monthly Investment:	4000
Start Month:			12
Start Year:			2023
End Month:			8
End Year:			2043
Annual Rate of Return (%):	100
--- Output ---
2029.05) 10260000/1826438780/1816178780/99.44%
2029.06) 10264000/1978646012/1968382012/99.48%
2029.07) 10268000/2143537180/2133269180/99.52%
2029.08) 10272000/2322169278/2311897278/99.56%
2029.09) 10276000/2515687385/2505411385/99.59%
2029.10) 10280000/2725332000/2715052000/99.62%
2029.11) 10284000/2952447000/2942163000/99.65%
2029.12) 10288000/3198488250/3188200250/99.68%
2030.01) 10292000/3465032937/3454740937/99.7%
2030.02) 10296000/3753789682/3743493682/99.73%
2030.03) 10300000/4066609489/4056309489/99.75%
2030.04) 10304000/4405497613/4395193613/99.77%
2030.05) 10308000/4772626414/4762318414/99.78%
2030.06) 10312000/5170349282/5160037282/99.8%
2030.07) 10316000/5601215722/5590899722/99.82%
2030.08) 10320000/6067987699/6057667699/99.83%
2030.09) 10324000/6573657341/6563333341/99.84%
2030.10) 10328000/7121466119/7111138119/99.85%
2030.11) 10332000/7714925629/7704593629/99.87%
2030.12) 10336000/8357840098/8347504098/99.88%
2031.01) 10340000/9054330773/9043990773/99.89%
2031.02) 10344000/9808862337/9798518337/99.89%
2031.03) 10348000/10626271532/10615923532/99.9%
2031.04) 10352000/11511798160/11501446160/99.91%
2031.05) 10356000/12471118673/12460762673/99.92%
2031.06) 10360000/13510382562/13500022562/99.92%
2031.07) 10364000/14636251776/14625887776/99.93%
2031.08) 10368000/15855943424/15845575424/99.93%
2031.09) 10372000/17177276042/17166904042/99.94%
2031.10) 10376000/18608719713/18598343713/99.94%
2031.11) 10380000/20159450355/20149070355/99.95%
2031.12) 10384000/21839408552/21829024552/99.95%
2032.01) 10388000/23659363264/23648975264/99.96%
2032.02) 10392000/25630980870/25620588870/99.96%
2032.03) 10396000/27766899942/27756503942/99.96%
2032.04) 10400000/30080812271/30070412271/99.97%
2032.05) 10404000/32587550627/32577146627/99.97%
2032.06) 10408000/35303183845/35292775845/99.97%
2032.07) 10412000/38245119833/38234707833/99.97%
2032.08) 10416000/41432217152/41421801152/99.97%
2032.09) 10420000/44884905915/44874485915/99.98%
2032.10) 10424000/48625318741/48614894741/99.98%
2032.11) 10428000/52677432636/52667004636/99.98%
2032.12) 10432000/57067222689/57056790689/99.98%
2033.01) 10436000/61822828580/61812392580/99.98%
2033.02) 10440000/66974734961/66964294961/99.98%
2033.03) 10444000/72555966875/72545522875/99.99%
2033.04) 10448000/78602301448/78591853448/99.99%
2033.05) 10452000/85152497235/85142045235/99.99%
2033.06) 10456000/92248542671/92238086671/99.99%
2033.07) 10460000/99935925227/99925465227/99.99%
2033.08) 10464000/108263922996/108253458996/99.99%
2033.09) 10468000/117285920579/117275452579/99.99%
2033.10) 10472000/127059751294/127049279294/99.99%
2033.11) 10476000/137648067902/137637591902/99.99%
2033.12) 10480000/149118744227/149108264227/99.99%
2034.01) 10484000/161545310246/161534826246/99.99%
2034.02) 10488000/175007423433/174996935433/99.99%
2034.03) 10492000/189591379386/189580887386/99.99%
2034.04) 10496000/205390665001/205380169001/99.99%
2034.05) 10500000/222506557751/222496057751/100%
2034.06) 10504000/241048774897/241038270897/100%
2034.07) 10508000/261136176805/261125668805/100%
2034.08) 10512000/282897528873/282887016873/100%
2034.09) 10516000/306472326945/306461810945/100%
2034.10) 10520000/332011691524/332001171524/100%
2034.11) 10524000/359679336484/359668812484/100%
2034.12) 10528000/389652618525/389642090525/100%
2035.01) 10532000/422123674068/422113142068/100%
2035.02) 10536000/457300650907/457290114907/100%
2035.03) 10540000/495409042483/495398502483/100%
2035.04) 10544000/536693133357/536682589357/100%
2035.05) 10548000/581417565136/581407017136/100%
2035.06) 10552000/629869032898/629858480898/100%
2035.07) 10556000/682358122973/682347566973/100%
2035.08) 10560000/739221303887/739210743887/100%
2035.09) 10564000/800823083211/800812519211/100%
2035.10) 10568000/867558344145/867547776145/100%
2035.11) 10572000/939854876824/939844304824/100%
2035.12) 10576000/1018176120559/1018165544559/100%
2036.01) 10580000/1103024134606/1103013554606/100%
2036.02) 10584000/1194942816490/1194932232490/100%
2036.03) 10588000/1294521388530/1294510800530/100%
2036.04) 10592000/1402398174908/1402387582908/100%
2036.05) 10596000/1519264693484/1519254097484/100%
2036.06) 10600000/1645870088607/1645859488607/100%
2036.07) 10604000/1783025933325/1783015329325/100%
2036.08) 10608000/1931611431768/1931600823768/100%
2036.09) 10612000/2092579055082/2092568443082/100%
2036.10) 10616000/2266960647006/2266950031006/100%
2036.11) 10620000/2455874038256/2455863418256/100%
2036.12) 10624000/2660530212111/2660519588111/100%
2037.01) 10628000/2882241067120/2882230439120/100%
2037.02) 10632000/3122427826714/3122417194714/100%
2037.03) 10636000/3382630149606/3382619513606/100%
2037.04) 10640000/3664515999407/3664505359407/100%
2037.05) 10644000/3969892336691/3969881692691/100%
2037.06) 10648000/4300716702082/4300706054082/100%
2037.07) 10652000/4659109764589/4659099112589/100%
2037.08) 10656000/5047368915638/5047358259638/100%
2037.09) 10660000/5467982995941/5467972335941/100%
2037.10) 10664000/5923648249602/5923637585602/100%
2037.11) 10668000/6417285607736/6417274939736/100%
2037.12) 10672000/6952059412381/6952048740381/100%
2038.01) 10676000/7531397700746/7531387024746/100%
2038.02) 10680000/8159014179808/8159003499808/100%
2038.03) 10684000/8838932032125/8838921348125/100%
2038.04) 10688000/9575509705469/9575499017469/100%
2038.05) 10692000/10373468851591/10373458159591/100%
2038.06) 10696000/11237924593224/11237913897224/100%
2038.07) 10700000/12174418313326/12174407613326/100%
2038.08) 10704000/13188953176770/13188942472770/100%
2038.09) 10708000/14288032612167/14288021904167/100%
2038.10) 10712000/15478702000515/15478691288515/100%
2038.11) 10716000/16768593837891/16768583121891/100%
2038.12) 10720000/18165976661715/18165965941715/100%
2039.01) 10724000/19679808054191/19679797330191/100%
2039.02) 10728000/21319792062707/21319781334707/100%
2039.03) 10732000/23096441405266/23096430673266/100%
2039.04) 10736000/25021144859705/25021134123705/100%
2039.05) 10740000/27106240268680/27106229528680/100%
2039.06) 10744000/29365093628404/29365082884404/100%
2039.07) 10748000/31812184768104/31812174020104/100%
2039.08) 10752000/34463200169446/34463189417446/100%
2039.09) 10756000/37335133520900/37335122764900/100%
2039.10) 10760000/40446394651642/40446383891642/100%
2039.11) 10764000/43816927543278/43816916779278/100%
2039.12) 10768000/47468338175885/47468327407885/100%
2040.01) 10772000/51424033027875/51424022255875/100%
2040.02) 10776000/55709369117532/55709358341532/100%
2040.03) 10780000/60351816547992/60351805767992/100%
2040.04) 10784000/65381134597658/65381123813658/100%
2040.05) 10788000/70829562484797/70829551696797/100%
2040.06) 10792000/76732026029196/76732015237196/100%
2040.07) 10796000/83126361535629/83126350739629/100%
2040.08) 10800000/90053558334265/90053547534265/100%
2040.09) 10804000/97558021532787/97558010728787/100%
2040.10) 10808000/105687856664520/105687845856520/100%
2040.11) 10812000/114495178057230/114495167245230/100%
2040.12) 10816000/124036442899332/124036432083332/100%
2041.01) 10820000/134372813144943/134372802324943/100%
2041.02) 10824000/145570547577688/145570536753688/100%
2041.03) 10828000/157701426546496/157701415718496/100%
2041.04) 10832000/170843212096037/170843201264037/100%
2041.05) 10836000/185080146441373/185080135605373/100%
2041.06) 10840000/200503491982154/200503481142154/100%
2041.07) 10844000/217212116318001/217212105474001/100%
2041.08) 10848000/235313126015167/235313115167167/100%
2041.09) 10852000/254922553187098/254922542335098/100%
2041.10) 10856000/276166099290023/276166088434023/100%
2041.11) 10860000/299179940901524/299179930041524/100%
2041.12) 10864000/324111602647318/324111591783318/100%
2042.01) 10868000/351120902871928/351120892003928/100%
2042.02) 10872000/380380978115255/380380967243255/100%
2042.03) 10876000/412079392962193/412079382086193/100%
2042.04) 10880000/446419342379709/446419331499709/100%
2042.05) 10884000/483620954248685/483620943364685/100%
2042.06) 10888000/523922700440075/523922689552075/100%
2042.07) 10892000/567582925480748/567582914588748/100%
2042.08) 10896000/614881502608144/614881491712144/100%
2042.09) 10900000/666121627829489/666121616929489/100%
2042.10) 10904000/721631763485947/721631752581947/100%
2042.11) 10908000/781767743780442/781767732872442/100%
2042.12) 10912000/846915055766146/846915044854146/100%
2043.01) 10916000/917491310417324/917491299501324/100%
2043.02) 10920000/993948919622768/993948908702768/100%
2043.03) */*/*/*%
2043.04) */*/*/*%
2043.05) */*/*/*%
2043.06) */*/*/*%
2043.07) */*/*/*%
